register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿136112242,Centre Cívic Pere Pruna,,,2000-05-15T00:00:00+02:00,2021-06-10T15:37:12.181893+02:00,,,139805,Carrer de Ganduxer,130,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08022,Barcelona,True,,129553,20001,Telèfons,Tel.,934186537,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,427389.37735589105,4583882.710670082,41.40320904460329,2.13132023534547
﻿136112242,Centre Cívic Pere Pruna,,,2000-05-15T00:00:00+02:00,2021-06-10T15:37:12.181893+02:00,,,139805,Carrer de Ganduxer,130,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08022,Barcelona,True,,129553,20001,Telèfons,Tel.,934186537,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,427389.37735589105,4583882.710670082,41.40320904460329,2.13132023534547
﻿69133728,Espai Lúdic Ambiental per a Famílies LaLudo,92086011921,Parc de la Ciutadella,2000-03-09T00:00:00+01:00,2021-07-18T09:59:54.182562+02:00,,,701223,Pas Institut Escola,1,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,129935,20006,Telèfons,Informació,638 326 771,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,432018.60074668005,4582080.237216116,41.38737945873459,2.186898929399237
﻿2011131453,Centre Cívic Cotxeres Borrell,,,2002-01-11T00:00:00+01:00,2021-06-10T15:37:11.534072+02:00,,,361406,Carrer de Viladomat,2,,10,Sant Antoni,02,Eixample,08015,Barcelona,True,,133326,20001,Telèfons,Tel.,933248350,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,430024.0673948785,4580828.679024282,41.37593604478161,2.1631899655131503
﻿2011131453,Centre Cívic Cotxeres Borrell,,,2002-01-11T00:00:00+01:00,2021-06-10T15:37:11.534072+02:00,,,361406,Carrer de Viladomat,2,,10,Sant Antoni,02,Eixample,08015,Barcelona,True,,133326,20001,Telèfons,Tel.,933248350,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,430024.0673948785,4580828.679024282,41.37593604478161,2.1631899655131503
﻿94139083955,Centre Cívic Barceloneta,,,1994-05-19T00:00:00+02:00,2021-06-10T15:37:00.409309+02:00,,,088908,Carrer de la Conreria,1,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,175124,20001,Telèfons,Tel.,932563320,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,432464.187573949,4581290.035017221,41.38029984700479,2.1923160012104885
﻿94139083955,Centre Cívic Barceloneta,,,1994-05-19T00:00:00+02:00,2021-06-10T15:37:00.409309+02:00,,,088908,Carrer de la Conreria,1,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,175124,20001,Telèfons,Tel.,932563320,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,432464.187573949,4581290.035017221,41.38029984700479,2.1923160012104885
﻿92168151898,Centre Cívic Casa del Rellotge,,,1991-04-29T00:00:00+02:00,2021-07-20T11:02:54.341082+02:00,,,369408,Passeig de la Zona Franca,116,,13,la Marina de Port,03,Sants-Montjuïc,08038,Barcelona,True,,171497,20001,Telèfons,Tel.,934322489,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,428182.2387365683,4578807.991369453,41.35757415322748,2.141406028389017
﻿92168151898,Centre Cívic Casa del Rellotge,,,1991-04-29T00:00:00+02:00,2021-07-20T11:02:54.341082+02:00,,,369408,Passeig de la Zona Franca,116,,13,la Marina de Port,03,Sants-Montjuïc,08038,Barcelona,True,,171497,20001,Telèfons,Tel.,934322489,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,428182.2387365683,4578807.991369453,41.35757415322748,2.141406028389017
﻿95081144551,Estació d'Autobusos Barcelona Nord,,,1995-03-22T00:00:00+01:00,2021-06-22T11:45:11.308609+02:00,,,009209,C Alí Bei,80,,05,el Fort Pienc,02,Eixample,08013,BARCELONA,True,,184990,20006,Telèfons,Informació,937 065 366,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431644.5592251787,4582854.98858152,41.394325719298415,2.182338154669274
